temp,hum,date

24,51,0:00:17
24,51,0:00:17
24,52,0:00:27
24,51,0:00:37
24,51,0:00:47
24,51,0:00:57
24,51,0:01:07
24,51,0:01:17
24,51,0:01:27
24,51,0:01:37
24,51,0:01:47
24,51,0:01:57
24,51,0:02:07
24,51,0:02:17
24,50,0:02:27
24,51,0:02:37
24,51,0:02:47
24,51,0:02:57
24,51,0:03:07
24,51,0:03:17
24,51,0:03:27
24,51,0:03:37
24,51,0:03:47
24,52,0:03:57
24,52,0:04:07
24,52,0:04:17
24,52,0:04:27
24,52,0:04:37
24,52,0:04:47
24,52,0:04:57
24,52,0:05:07
24,52,0:05:17
24,52,0:05:27
24,52,0:05:37
24,52,0:05:47
24,52,0:05:57
24,52,0:06:07
24,52,0:06:17
24,52,0:06:27
24,52,0:06:37
24,52,0:06:47
24,52,0:06:57
24,52,0:07:07
24,52,0:07:17
24,51,0:07:27
24,51,0:07:37
24,51,0:07:47
24,52,0:07:57
24,51,0:08:07
24,52,0:08:17
24,52,0:08:27
24,52,0:08:37
24,52,0:08:47
24,52,0:08:57
24,52,0:09:07
24,52,0:09:17
24,52,0:09:27
24,52,0:09:37
24,52,0:09:47
24,52,0:09:57
24,52,0:10:07
24,52,0:10:17
24,52,0:10:27
24,52,0:10:37
24,52,0:10:47
24,52,0:10:57
24,52,0:11:07
24,52,0:11:17
24,52,0:11:27
24,52,0:11:37
24,52,0:11:47
24,52,0:11:57
24,52,0:12:07
24,52,0:12:17
24,52,0:12:27
24,52,0:12:37
24,52,0:12:47
24,52,0:12:57
24,52,0:13:07
24,52,0:13:17
24,52,0:13:27
24,52,0:13:37
24,52,0:13:47
24,52,0:13:57
24,52,0:14:07
24,52,0:14:17
24,52,0:14:27
24,52,0:14:37
24,52,0:14:47
24,52,0:16:10
23,55,0:16:20
24,52,0:16:30
24,52,0:16:40
24,52,0:16:50
24,52,0:17:00
24,52,0:17:10
24,52,0:17:20
24,52,0:17:30
24,52,0:17:40
23,52,0:17:50
23,52,0:18:00
23,52,0:18:10
23,52,0:18:20
23,52,0:18:30
23,52,0:18:40
23,52,0:18:50
23,52,0:19:00
23,52,0:19:10
23,52,0:19:20
23,52,0:19:30
23,52,0:19:40
23,52,0:19:50
23,52,0:20:00
23,52,0:20:10
23,52,0:20:20
23,52,0:20:30
23,52,0:20:40
23,52,0:20:50
23,52,0:21:00
23,52,0:21:10
23,52,0:21:20
23,52,0:21:30
23,52,0:21:40
23,52,0:21:50
23,52,0:22:00
23,52,0:22:10
23,52,0:22:20
23,52,0:22:30
23,52,0:22:40
23,52,0:22:50
23,52,0:23:00
23,52,0:23:10
23,52,0:23:20
23,53,0:23:30
23,53,0:23:40
23,52,0:23:50
23,52,0:24:00
23,52,0:24:10
23,52,0:24:20
23,52,0:24:30
23,52,0:24:40
23,52,0:24:50
23,52,0:25:00
23,53,0:25:10
23,52,0:25:20
23,53,0:25:30
23,52,0:25:40
23,52,0:25:50
23,52,0:26:00
23,52,0:26:10
23,52,0:26:20
23,52,0:26:30
23,53,0:26:40
23,53,0:26:50
23,53,0:27:00
23,53,0:27:10
23,52,0:27:20
23,53,0:27:30
23,53,0:27:40
23,53,0:27:50
23,53,0:28:00
23,53,0:28:10
23,53,0:28:20
23,53,0:28:30
23,52,0:28:40
23,52,0:28:50
23,52,0:29:00
23,52,0:29:10
23,52,0:29:20
23,52,0:29:30
23,53,0:29:40
23,53,0:29:50
23,53,0:30:00
23,53,0:30:10
23,53,0:30:20
23,53,0:30:30
23,53,0:30:40
23,53,0:30:50
23,53,0:31:00
23,53,0:31:10
23,53,0:31:20
23,53,0:31:30
23,53,0:31:40
23,53,0:31:50
23,53,0:32:00
23,53,0:32:10
23,53,0:32:20
23,53,0:32:30
23,53,0:32:40
23,53,0:32:50
23,53,0:33:00
23,53,0:33:10
23,53,0:33:20
23,53,0:33:30
23,53,0:33:40
23,53,0:33:50
23,53,0:34:00
23,53,0:34:10
23,53,0:34:20
23,53,0:34:30
23,53,0:34:40
23,53,0:34:50
23,53,0:35:00
23,53,0:35:10
23,53,0:35:20
23,52,0:35:30
23,53,0:35:40
23,53,0:35:50
23,53,0:36:00
23,53,0:36:10
23,53,0:36:20
23,53,0:36:30
23,53,0:36:40
23,53,0:36:50
23,53,0:37:00
23,53,0:37:10
23,53,0:37:20
23,53,0:37:30
23,53,0:37:40
23,53,0:37:50
23,53,0:38:00
23,53,0:38:10
23,53,0:38:20
23,53,0:38:30
23,53,0:38:40
23,53,0:38:50
23,53,0:39:00
23,53,0:39:10
23,53,0:39:20
23,53,0:39:30
23,53,0:39:40
23,53,0:39:50
23,53,0:40:00
23,53,0:40:10
23,53,0:40:20
23,53,0:40:30
23,53,0:40:40
23,53,0:40:50
23,53,0:41:00
23,53,0:41:10
23,53,0:41:20
23,53,0:41:30
23,53,0:41:40
25,34,0:00:12
24,32,0:00:22
24,31,0:00:32
24,31,0:00:42
24,31,0:00:52
24,32,0:01:02
24,32,0:01:12
24,32,0:01:22
24,32,0:01:32
24,32,0:01:42
24,32,0:01:52
24,31,0:02:02
24,31,0:02:12
24,31,0:02:22
24,31,0:02:32
24,32,0:02:42
24,33,0:02:52
24,32,0:03:02
24,32,0:03:12
0,0,ss
24,35,0:10:05
24,34,0:10:15
24,32,0:10:25
24,33,0:10:35
24,32,0:10:45
24,32,0:10:55
24,32,0:11:05
24,32,0:11:15
24,32,0:11:25
24,32,0:11:35
24,31,0:11:45
24,32,0:11:55
24,32,0:12:05
24,31,0:12:15
24,31,0:12:25
24,31,0:12:35
24,31,0:12:45
24,31,0:12:55
24,31,0:13:05
24,31,0:13:15
24,31,0:13:25
24,31,0:13:35
24,32,0:13:45
24,31,0:13:55
24,31,0:14:05
24,31,0:14:15
24,31,0:14:25
24,31,0:14:35
24,31,0:14:45
24,31,0:14:55
24,31,0:15:05
24,31,0:15:15
24,31,0:15:25
24,31,0:15:35
24,31,0:15:45
24,32,0:15:55
24,31,0:16:05
24,31,0:16:15
24,31,0:16:25
24,31,0:16:35
24,31,0:20:27
24,33,0:20:37
24,31,0:20:47
24,31,0:20:57
24,31,0:21:07
24,31,0:21:17
24,30,0:21:27
24,30,0:21:37
24,30,0:21:47
24,31,0:21:57
24,33,0:00:12
24,31,0:00:22
24,31,0:00:32
24,31,0:00:42
24,32,0:00:52
24,32,0:01:02
24,31,0:01:12
24,31,0:01:22
24,31,0:01:32
24,31,0:01:42
24,31,0:01:52
24,31,0:02:02
24,31,0:02:12
24,31,0:02:22
24,31,0:02:32
24,31,0:02:42
24,31,0:02:52
24,31,0:03:02
24,31,0:03:12
25,31,0:03:22
0,0,ss
25,31,0:03:32
25,31,0:03:42
24,30,0:03:52
25,30,0:04:02
25,30,0:04:12
25,30,0:04:22
25,31,0:04:32
25,30,0:04:42
25,30,0:04:52
25,30,0:05:02
25,30,0:05:12
25,32,0:05:22
25,33,0:05:32
25,32,0:05:42
25,31,0:05:52
25,31,0:06:08
25,30,0:06:13
25,30,0:06:18
25,30,0:06:23
25,30,0:06:28
25,30,0:06:33
25,30,0:06:38
25,30,0:06:43
